帖子ID,平台ID,平台名称,媒体类型
WB_202408141725_2318,P_0,微博,微博
WB_202410221650_2319,P_0,微博,微博
DY_202410221038_2320,P_2,抖音,视频
WB_202407131943_2321,P_0,微博,微博
DY_202407161502_2322,P_2,抖音,视频
XHS_202407161746_2326,P_1,小红书,客户端
JRTT_202407121853_2327,P_3,今日头条,客户端
JRTT_202407102132_2328,P_3,今日头条,客户端
JRTT_202407181848_2329,P_3,今日头条,客户端
XHS_202407171542_2330,P_1,小红书,客户端
WB_202408311219_2333,P_0,微博,微博
WB_202408311624_2334,P_0,微博,微博
WB_202408291439_2335,P_0,微博,微博
XHS_202409011813_2336,P_1,小红书,客户端
WB_202408312238_2337,P_0,微博,微博
WB_202408310927_2338,P_0,微博,微博
WYXW_202409041530_2339,P_5,网易新闻,客户端
JRTT_202409031311_2341,P_3,今日头条,客户端
WYXW_202409041129_2342,P_5,网易新闻,客户端
WB_202409021510_2343,P_0,微博,微博
WB_202408311249_2344,P_0,微博,微博
JRTT_202408281327_2345,P_3,今日头条,客户端
WB_202408291656_2346,P_0,微博,微博
WB_202408311914_2347,P_0,微博,微博
KS_202409011820_2348,P_4,快手,视频
WB_202408311907_2349,P_0,微博,微博
DY_202408300206_2350,P_2,抖音,视频
WB_202408311451_2351,P_0,微博,微博
WB_202409021413_2352,P_0,微博,微博
WB_202408301205_2353,P_0,微博,微博
WB_202408291812_2354,P_0,微博,微博
WB_202408312045_2355,P_0,微博,微博
WB_202408311721_2356,P_0,微博,微博
DY_202408301102_2357,P_2,抖音,视频
JRTT_202409031746_2358,P_3,今日头条,客户端
WB_202408312209_2359,P_0,微博,微博
WB_202408291643_2360,P_0,微博,微博
WB_202409011516_2361,P_0,微博,微博
WB_202408291956_2362,P_0,微博,微博
WB_202407311935_2363,P_0,微博,微博
WB_202408011345_2364,P_0,微博,微博
WB_202408011350_2365,P_0,微博,微博
WB_202408041646_2366,P_0,微博,微博
WB_202408011332_2367,P_0,微博,微博
WB_202407311629_2368,P_0,微博,微博
WB_202408071432_2369,P_0,微博,微博
WB_202408011313_2370,P_0,微博,微博
WB_202407311659_2371,P_0,微博,微博
WB_202407311249_2372,P_0,微博,微博
WB_202408010848_2373,P_0,微博,微博
WB_202407311401_2374,P_0,微博,微博
WB_202407311502_2375,P_0,微博,微博
WB_202407311548_2376,P_0,微博,微博
WB_202407310902_2378,P_0,微博,微博
WB_202407311235_2379,P_0,微博,微博
DY_202408041518_2380,P_2,抖音,视频
WB_202407311449_2382,P_0,微博,微博
WB_202407311317_2383,P_0,微博,微博
WB_202407311406_2384,P_0,微博,微博
WB_202407311541_2385,P_0,微博,微博
WB_202407310956_2386,P_0,微博,微博
WB_202407311024_2387,P_0,微博,微博
WB_202407310953_2388,P_0,微博,微博
WB_202407311046_2389,P_0,微博,微博
WB_202408071326_2390,P_0,微博,微博
WB_202407311035_2391,P_0,微博,微博
WB_202407311018_2392,P_0,微博,微博
WB_202407311213_2393,P_0,微博,微博
